quote,movie,type,year,clean_quote,clean_quote_light,clean_quote_strict
"I used to think that my life was a tragedy. But now I realize, it’s a comedy.",Joker,movie,2019,i used to think that my life was a tragedy but now i realize it’s a comedy,i used to think that my life was a tragedy but now i realize it s a comedy,use think life tragedy realize comedy
"I use the words you taught me. If they don't mean anything any more, teach me others. Or let me be silent.",Avengers: Endgame,movie,2019,i use the words you taught me if they dont mean anything any more teach me others or let me be silent,i use the words you taught me if they don t mean anything any more teach me others or let me be silent,use word teach mean anything teach others let silent
I used to use this little gun when I was a prostitude.,Pineapple Express,movie,2019,i used to use this little gun when i was a prostitude,i used to use this little gun when i was a prostitude,use use little gun prostitude
If you want to get crazy. We can get crazy.,Us,movie,2019,if you want to get crazy we can get crazy,if you want to get crazy we can get crazy,want get crazy get crazy
"If you can only do one thing, hone it to perfection. Hone it to the utmost limit!",Kimetsu no Yaiba,anime,2019,if you can only do one thing hone it to perfection hone it to the utmost limit,if you can only do one thing hone it to perfection hone it to the utmost limit,one thing hone perfection hone utmost limit
You get what you f***ing deserve !!,Joker,movie,2019,you get what you fing deserve,you get what you f ing deserve,get f ing deserve
"You don't listen, do you?",Joker,movie,2019,you dont listen do you,you don t listen do you,listen
Never let your wings be stolen for you,Maleficent:The Mistress of Evil,movie,2019,never let your wings be stolen for you,never let your wings be stolen for you,never let wing steal
"Guns, lots of guns.",John Wick 3: Parabellum,movie,2019,guns lots of guns,guns lots of guns,gun lot gun
I was so sure my strength was getting close to it'…on this planet... Then who would I train against.,Dragon Ball Super: Broly,movie,2019,i was so sure my strength was getting close to it…on this planet then who would i train against,i was so sure my strength was getting close to it on this planet then who would i train against,sure strength get close planet would train
No amount of money ever bought a second of time.,Avengers: Endgame,movie,2019,no amount of money ever bought a second of time,no amount of money ever bought a second of time,amount money ever buy second time
The end is in the beginning and yet you go on.,Avengers: Endgame,movie,2019,the end is in the beginning and yet you go on,the end is in the beginning and yet you go on,end beginning yet go
This meeting of The Losers Club has officially begun.,It Chapter Two,movie,2019,this meeting of the losers club has officially begun,this meeting of the losers club has officially begun,meet loser club officially begin
" Spider-Pig, Spider-Pig. Does whatever a Spider-Pig does. Can he swing from a web? No he can't, he's a pig. Look out! He is a Spider-Pig!",The Simpsons Movie,movie,2019,spiderpig spiderpig does whatever a spiderpig does can he swing from a web no he cant hes a pig look out he is a spiderpig,spider pig spider pig does whatever a spider pig does can he swing from a web no he can t he s a pig look out he is a spider pig,spider pig spider pig whatever spider pig swing web pig look spider pig
Let’s do this.,Men in Black,movie,2019,let’s do this,let s do this,let
"It looks as though he's managed to transform someh… his human form, retaining his speed and agility.",Dragon Ball Super: Broly,movie,2019,it looks as though hes managed to transform someh… his human form retaining his speed and agility,it looks as though he s managed to transform someh his human form retaining his speed and agility,look though managed transform someh human form retain speed agility
I just hope my death makes more cents than my life.,Joker,movie,2019,i just hope my death makes more cents than my life,i just hope my death makes more cents than my life,hope death make cent life
